Var1,Var2,R value,P value
C_P,C_MN,-0.147020000,0.149292184
C_P,C_P,1.000000000,0.000000000
C_P,C_S1,0.597300000,0.557988827
C_P,C_V,-0.908500000,0.372893466
C_P,C_TI,0.225500000,0.824961205
C_P,C_CR,0.229890000,0.024130990
C_P,C_NI,0.219100000,0.031620931
C_P,C_CAO,0.114930000,0.259632676
C_P,C_SIO2,-0.117500000,0.249128559
C_P,C_MGO,-0.677000000,0.506688534
C_P,C_AL2O3,0.183400000,0.857249031
C_P,C_FEO,-0.106800000,0.916575412
C_P,C_S2,0.218600000,0.830234316
C_P,C_TIO2,-0.470000000,0.963232813
C_P,C_V2O5,0.151500000,0.881877286
C_P,BA,-0.196200000,0.847404392
C_P,CCO,0.125960000,0.216662063
C_P,CCO2,-0.168030000,0.099324229
C_P,CH2,-0.177740000,0.081264687
C_P,CN2,0.363000000,0.971599158
C_P,C_CH4,0.412400000,0.685859987
C_P,FOCA,0.949500000,0.351707934
C_P,POCA,-0.701800000,0.491246727
C_P,OEF,-0.934200000,0.359522952
C_P,OEP,0.000000000,1.000000000
C_P,TOHA,0.000000000,1.000000000
C_P,POHA,0.938500000,0.357315632
C_P,AWS,0.109740000,0.281769905
C_P,FOCW,-0.350400000,0.000586579
C_P,BKE,-0.167730000,0.099929475
C_P,FOTCW,0.000000000,1.000000000
C_P,CIV,0.516000000,0.959637256
C_P,FS,-0.103100000,0.919455577
C_P,FA,0.146100000,0.151854581
C_P,NOCR,0.000000000,1.000000000
C_P,BWOO,0.000000000,1.000000000
C_P,BWOC,0.563200000,0.580684202
C_P,TOMI,-0.819000000,0.935977379
C_P,TFP,0.304100000,0.765505433
C_P,TFT,0.209000000,0.837583502
C_P,SPOF,0.589800000,0.562943291
C_P,PDOIF,0.933000000,0.927089130
C_P,PDOUF,0.149000000,0.988340307
C_P,PDOCF,0.405600000,0.690770052
C_P,OER,-0.146000000,0.886135792
C_P,TCT,-0.682800000,0.503054434
C_P,UROCG,-0.178810000,0.079449067
C_P,BGV,-0.785400000,0.441107286
C_P,TLOF,-0.125900000,0.901725766
C_P,API,0.193100000,0.849786518
C_P,TOCW,0.129720000,0.203254131
C_P,SWS,0.120110000,0.238768718
C_P,FOCG,0.000000000,1.000000000
C_P,ABT,-0.987100000,0.332963527
C_P,VST,0.000000000,1.000000000
C_S1,C_C,0.216450000,0.033739630
C_S1,C_SI,0.848912000,0.000000000
C_S1,C_MN,0.762000000,0.454838313
C_S1,C_P,0.597300000,0.557988827
C_S1,C_S1,1.000000000,0.000000000
C_S1,C_V,0.471000000,0.963154640
C_S1,C_TI,-0.892400000,0.381424366
C_S1,C_CR,-0.129940000,0.202488761
C_S1,C_NI,0.745700000,0.464543633
C_S1,C_CAO,-0.700000000,0.945263965
C_S1,C_SIO2,-0.202040000,0.047502593
C_S1,C_MGO,0.882600000,0.386675241
C_S1,C_AL2O3,-0.860000000,0.993270084
C_S1,C_FEO,0.909941000,0.000000000
C_S1,C_S2,0.111800000,0.912685043
C_S1,C_TIO2,-0.148400000,0.884277123
C_S1,C_V2O5,-0.134180000,0.188145873
C_S1,BA,-0.200000000,0.844486269
C_S1,CCO,-0.355750000,0.000482538
C_S1,CCO2,0.480850000,0.000002372
C_S1,CH2,0.612300000,0.548143979
C_S1,CN2,-0.866500000,0.395396855
C_S1,C_CH4,0.191150000,0.060799282
C_S1,FOCA,0.603410000,0.000000003
C_S1,POCA,-0.374263000,0.000000000
C_S1,OEF,-0.129840000,0.202836396
C_S1,OEP,0.000000000,1.000000000
C_S1,TOHA,0.000000000,1.000000000
C_S1,POHA,-0.127700000,0.210380252
C_S1,AWS,-0.733070000,0.000000000
C_S1,FOCW,0.241000000,0.813144911
C_S1,BKE,0.446800000,0.661227260
C_S1,FOTCW,0.000000000,1.000000000
C_S1,CIV,-0.977000000,0.337934096
C_S1,FS,0.511080000,0.000000528
C_S1,FA,0.253500000,0.803646389
C_S1,NOCR,0.000000000,1.000000000
C_S1,BWOO,0.000000000,1.000000000
C_S1,BWOC,-0.104120000,0.307147024
C_S1,TOMI,-0.537825000,0.000000000
C_S1,TFP,-0.352292000,0.000000000
C_S1,TFT,-0.200380000,0.049355780
C_S1,SPOF,0.275900000,0.786698224
C_S1,PDOIF,-0.770520000,0.000000000
C_S1,PDOUF,-0.694750000,0.000000000
C_S1,PDOCF,0.517900000,0.611485039
C_S1,OER,-0.672007000,0.000000000
C_S1,TCT,-0.846106000,0.000000000
C_S1,UROCG,-0.249363000,0.000000000
C_S1,BGV,0.267120000,0.008783825
C_S1,TLOF,-0.599694000,0.000000000
C_S1,API,0.875240000,0.000000000
C_S1,TOCW,0.119770000,0.240100788
C_S1,SWS,-0.578000000,0.570781008
C_S1,FOCG,0.000000000,1.000000000
C_S1,ABT,0.658100000,0.518625753
C_S1,VST,0.000000000,1.000000000
C_V,C_C,-0.227590000,0.025583901
C_V,C_SI,-0.153800000,0.880097461
C_V,C_MN,0.489900000,0.630877485
C_V,C_P,-0.908500000,0.372893466
C_V,C_S1,0.471000000,0.963154640
C_V,C_V,1.000000000,0.000000000
C_V,C_TI,-0.675100000,0.507882009
C_V,C_CR,-0.119580000,0.240847457
C_V,C_NI,0.519000000,0.959402791
C_V,C_CAO,-0.798000000,0.937615592
C_V,C_SIO2,-0.983800000,0.334582358
C_V,C_MGO,0.864600000,0.396433898
C_V,C_AL2O3,0.152930000,0.133611652
C_V,C_FEO,0.138500000,0.891948125
C_V,C_S2,-0.139630000,0.170829125
C_V,C_TIO2,0.394000000,0.969174901
C_V,C_V2O5,-0.276000000,0.786622782
C_V,BA,0.892400000,0.381424366
C_V,CCO,0.317600000,0.755420659
C_V,CCO2,0.100240000,0.325524223
C_V,CH2,0.807000000,0.428645965
C_V,CN2,-0.527800000,0.604692141
C_V,C_CH4,-0.188750000,0.064111025
C_V,FOCA,-0.131340000,0.197667374
C_V,POCA,0.927900000,0.362772362
C_V,OEF,-0.178750000,0.079549997
C_V,OEP,0.000000000,1.000000000
C_V,TOHA,0.000000000,1.000000000
C_V,POHA,-0.531900000,0.601888865
C_V,AWS,-0.121100000,0.234919764
C_V,FOCW,-0.151190000,0.138089847
C_V,BKE,-0.965400000,0.343701352
C_V,FOTCW,0.000000000,1.000000000
C_V,CIV,-0.954300000,0.349278500
C_V,FS,0.315000000,0.757359734
C_V,FA,0.399500000,0.695185772
C_V,NOCR,0.000000000,1.000000000
C_V,BWOO,0.000000000,1.000000000
C_V,BWOC,-0.849400000,0.404789193
C_V,TOMI,0.180310000,0.076959463
C_V,TFP,-0.139800000,0.890940229
C_V,TFT,0.320000000,0.997495820
C_V,SPOF,-0.371200000,0.715805225
C_V,PDOIF,0.601000000,0.555552461
C_V,PDOUF,-0.137620000,0.177071226
C_V,PDOCF,-0.219000000,0.982863306
C_V,OER,0.105700000,0.917431564
C_V,TCT,0.564800000,0.579609717
C_V,UROCG,0.198950000,0.051000469
C_V,BGV,-0.301800000,0.767227602
C_V,TLOF,0.156200000,0.878240897
C_V,API,-0.184080000,0.070982074
C_V,TOCW,-0.200000000,0.998434886
C_V,SWS,-0.152040000,0.135887981
C_V,FOCG,0.000000000,1.000000000
C_V,ABT,0.839200000,0.410454610
C_V,VST,0.000000000,1.000000000
C_TI,C_C,-0.618100000,0.544360443
C_TI,C_SI,-0.102590000,0.314310019
C_TI,C_MN,0.703100000,0.490444307
C_TI,C_P,0.225500000,0.824961205
C_TI,C_S1,-0.892400000,0.381424366
C_TI,C_V,-0.675100000,0.507882009
C_TI,C_TI,1.000000000,0.000000000
C_TI,C_CR,0.140930000,0.166880622
C_TI,C_NI,-0.335400000,0.742187390
C_TI,C_CAO,-0.131350000,0.197633240
C_TI,C_SIO2,-0.102650000,0.314027064
C_TI,C_MGO,0.234200000,0.818323768
C_TI,C_AL2O3,-0.376600000,0.711854183
C_TI,C_FEO,-0.987300000,0.332865579
C_TI,C_S2,-0.228650000,0.024905156
C_TI,C_TIO2,0.473600000,0.642285989
C_TI,C_V2O5,0.872000000,0.392404142
C_TI,BA,0.797400000,0.434158877
C_TI,CCO,-0.349000000,0.732127449
C_TI,CCO2,0.145760000,0.152809982
C_TI,CH2,-0.151070000,0.138402900
C_TI,CN2,0.718000000,0.481297861
C_TI,C_CH4,-0.614200000,0.546903115
C_TI,FOCA,0.277800000,0.785265171
C_TI,POCA,0.298700000,0.769550605
C_TI,OEF,0.168050000,0.099283984
C_TI,OEP,0.000000000,1.000000000
C_TI,TOHA,0.000000000,1.000000000
C_TI,POHA,0.407500000,0.689396801
C_TI,AWS,-0.348900000,0.732201253
C_TI,FOCW,0.350000000,0.997261054
C_TI,BKE,-0.464100000,0.648974481
C_TI,FOTCW,0.000000000,1.000000000
C_TI,CIV,-0.116700000,0.908874509
C_TI,FS,-0.152000000,0.881490316
C_TI,FA,-0.186200000,0.067791503
C_TI,NOCR,0.000000000,1.000000000
C_TI,BWOO,0.000000000,1.000000000
C_TI,BWOC,0.633700000,0.534248871
C_TI,TOMI,-0.971000000,0.924128345
C_TI,TFP,0.430000000,0.996635012
C_TI,TFT,-0.550900000,0.588975275
C_TI,SPOF,0.116040000,0.255058851
C_TI,PDOIF,-0.130860000,0.199310868
C_TI,PDOUF,0.134100000,0.895360751
C_TI,PDOCF,-0.570200000,0.575990235
C_TI,OER,0.104060000,0.307425873
C_TI,TCT,0.116820000,0.251878514
C_TI,UROCG,0.386000000,0.969800490
