Var1,Var2,R value,P value
C_SIO2,FOCA,-0.894849500,0.380168308
C_SIO2,POCA,0.649267200,0.524297082
C_SIO2,OEF,-0.115890690,0.255720252
C_SIO2,OEP,-0.168594770,0.098227706
C_SIO2,TOHA,0.134821690,0.186087927
C_SIO2,POHA,0.356301100,0.726772892
C_SIO2,AWS,-0.971042700,0.340938335
C_SIO2,FOCW,-0.267014900,0.793430245
C_SIO2,BKE,0.176670260,0.083145410
C_SIO2,FOTCW,-0.770676600,0.449766136
C_SIO2,CIV,0.214011410,0.035814635
C_SIO2,FS,0.128033160,0.209240017
C_SIO2,FA,0.332301300,0.744511355
C_SIO2,NOCR,0.713702700,0.483971678
C_SIO2,BWOO,-0.117381310,0.249656259
C_SIO2,BWOC,0.110672520,0.277750763
C_SIO2,TOMI,-0.100245400,0.325548483
C_SIO2,TFP,-0.155830250,0.126437519
C_SIO2,TFT,-0.619812700,0.543287599
C_SIO2,SPOF,0.440063400,0.666055967
C_SIO2,PDOIF,0.427865100,0.674774499
C_SIO2,PDOUF,-0.540648000,0.595965541
C_SIO2,PDOCF,0.953498200,0.349733661
C_SIO2,OER,-0.162436400,0.111137713
C_SIO2,TCT,-0.148393480,0.145570190
C_SIO2,UROCG,0.315290000,0.757167822
C_SIO2,BGV,0.147746380,0.147334548
C_SIO2,TLOF,-0.178989830,0.079178368
C_SIO2,API,-0.329638000,0.974211125
C_SIO2,TOCW,-0.692357500,0.497140896
C_SIO2,SWS,-0.116507400,0.253199121
C_SIO2,FOCG,0.802929400,0.431026459
C_SIO2,TOCA,0.105164340,0.302370578
C_SIO2,AH,0.132920110,0.192373461
C_MGO,C_C,0.100279860,0.325382154
C_MGO,C_SI,-0.180234010,0.077114773
C_MGO,C_MN,-0.164214600,0.872059127
C_MGO,C_P,-0.185232570,0.069261471
C_MGO,C_S1,-0.203311100,0.046146076
C_MGO,C_CU,0.510338000,0.616732978
C_MGO,C_MO,-0.531310000,0.602329657
C_MGO,C_CAO,-0.142614720,0.161909753
C_MGO,C_SIO2,0.193868760,0.057246058
C_MGO,C_MGO,1.000000000,0.000000000
C_MGO,C_AL2O3,-0.590877400,0.562270934
C_MGO,C_FEO,-0.188157970,0.064978353
C_MGO,C_S2,0.138413360,0.174632260
C_MGO,BA,0.871658900,0.392638564
C_MGO,CCO,0.907570200,0.373432609
C_MGO,CCO2,0.294690000,0.997694092
C_MGO,CH2,-0.231582540,0.023122291
C_MGO,CN2,0.450355600,0.658734702
C_MGO,C_SO2,0.391251000,0.701203187
C_MGO,PE,0.876230600,0.390160815
C_MGO,FOCA,0.673981500,0.508629377
C_MGO,POCA,0.185874470,0.068302320
C_MGO,OEF,0.157725000,0.121890439
C_MGO,OEP,-0.119788630,0.240076519
C_MGO,TOHA,0.107444500,0.292008242
C_MGO,POHA,-0.162216110,0.111623208
C_MGO,AWS,-0.534027500,0.600474424
C_MGO,FOCW,0.191948530,0.059755864
C_MGO,BKE,0.770879100,0.449647061
C_MGO,FOTCW,-0.141856800,0.164151654
C_MGO,CIV,0.143310770,0.159871326
C_MGO,FS,0.162964900,0.109979740
C_MGO,FA,0.131398550,0.197514171
C_MGO,NOCR,0.455048200,0.655407350
C_MGO,BWOO,-0.175549360,0.085119325
C_MGO,BWOC,-0.185199820,0.069310696
C_MGO,TOMI,0.544555100,0.593311869
C_MGO,TFP,0.930047500,0.361712567
C_MGO,TFT,-0.528971800,0.603927982
C_MGO,SPOF,0.193013300,0.849868620
C_MGO,PDOIF,-0.143626400,0.158953389
C_MGO,PDOUF,-0.155441250,0.127387211
C_MGO,PDOCF,0.880550200,0.387828425
C_MGO,OER,0.135989960,0.182302324
C_MGO,TCT,0.108965780,0.285228948
C_MGO,UROCG,0.104284720,0.306432624
C_MGO,BGV,0.846434300,0.406480376
C_MGO,TLOF,0.117774300,0.248074399
C_MGO,API,-0.850714900,0.404111137
C_MGO,TOCW,-0.850146500,0.404425265
C_MGO,SWS,-0.853204000,0.933316652
C_MGO,FOCG,-0.114260700,0.910780473
C_MGO,TOCA,-0.629403000,0.950781942
C_MGO,AH,0.894363700,0.380427045
C_AL2O3,C_C,0.114966670,0.259530214
C_AL2O3,C_SI,-0.110194660,0.279830947
C_AL2O3,C_MN,-0.104470540,0.305571527
C_AL2O3,C_P,0.676989600,0.506739216
C_AL2O3,C_S1,-0.576631000,0.954904041
C_AL2O3,C_CU,-0.667297700,0.512842197
C_AL2O3,C_MO,-0.300494500,0.768229017
C_AL2O3,C_CAO,0.118273800,0.907660661
C_AL2O3,C_SIO2,-0.119200300,0.242393472
C_AL2O3,C_MGO,-0.590877400,0.562270934
C_AL2O3,C_AL2O3,1.000000000,0.000000000
C_AL2O3,C_FEO,-0.538232900,0.597608563
C_AL2O3,C_S2,-0.658993100,0.518101953
C_AL2O3,BA,0.719772400,0.480261718
C_AL2O3,CCO,0.837496200,0.411454159
C_AL2O3,CCO2,0.359873700,0.724144545
